Category,State/UT,less than `1 lakh_male,less than `1 lakh_Female,less than `1 lakh_Trans,less than `1 lakh_Total,`1 lakh & above – less than `5 lakhs_male,`1 lakh & above – less than `5 lakhs_Female,`1 lakh & above – less than `5 lakhs_Trans,`1 lakh & above – less than `5 lakhs_Total,`5 lakhs & above – less than `10 lakhs_male,`5 lakhs & above – less than `10 lakhs_Female,`5 lakhs & above – less than `10 lakhs_Trans,`5 lakhs & above – less than `10 lakhs_Total,`10 lakhs and above_male,`10 lakhs and above_Female,`10 lakhs and above_Trans,`10 lakhs and above_Total,Total_male,Total_Female,Total_Trans,Total_Total
State,ANDHRA PRADESH,3111,1180,0,4291,1398,461,0,1859,169,58,0,227,62,26,0,88,4740,1725,0,6465
State,ARUNACHAL PRADESH,46,18,0,64,27,9,0,36,8,4,0,12,0,0,0,0,81,31,0,112
State,ASSAM,987,442,0,1429,553,209,0,762,97,19,0,116,42,21,0,63,1679,691,0,2370
State,BIHAR,140,100,0,240,192,121,0,313,53,20,0,73,10,5,0,15,395,246,0,641
State,CHHATTISGARH,3640,1478,0,5118,1642,584,0,2226,220,46,0,266,18,1,0,19,5520,2109,0,7629
State,GOA,95,37,0,132,99,21,0,120,7,0,0,7,0,0,0,0,201,58,0,259
State,GUJARAT,3412,1962,1,5375,1661,495,0,2156,93,29,0,122,2,0,0,2,5168,2486,1,7655
State,HARYANA,1796,540,0,2336,1121,270,0,1391,250,62,0,312,130,22,0,152,3297,894,0,4191
State,HIMACHAL PRADESH,213,125,0,338,148,68,0,216,12,12,0,24,4,2,0,6,377,207,0,584
State,JAMMU & KASHMIR,113,100,0,213,40,27,0,67,4,0,0,4,0,0,0,0,157,127,0,284
State,JHARKHAND,710,411,0,1121,284,129,0,413,67,38,0,105,5,2,0,7,1066,580,0,1646
State,KARNATAKA,5113,1914,2,7029,3029,881,0,3910,251,74,0,325,20,4,0,24,8413,2873,2,11288
State,KERALA,4394,1429,0,5823,2078,411,0,2489,183,46,0,229,13,2,0,15,6668,1888,0,8556
State,MADHYA PRADESH,5721,3600,1,9322,2254,734,1,2989,129,14,0,143,3,0,0,3,8107,4348,2,12457
State,MAHARASHTRA,8392,3127,2,11521,5458,1202,0,6660,560,112,0,672,56,7,0,63,14466,4448,2,18916
State,MANIPUR,28,22,0,50,7,0,0,7,1,0,0,1,0,0,0,0,36,22,0,58
State,MEGHALAYA,120,29,0,149,42,4,0,46,3,0,0,3,0,0,0,0,165,33,0,198
State,MIZORAM,36,15,0,51,15,1,0,16,3,0,0,3,0,0,0,0,54,16,0,70
State,NAGALAND,24,5,0,29,12,0,0,12,0,0,0,0,0,0,0,0,36,5,0,41
State,ODISHA,1263,847,0,2110,1299,1126,0,2425,34,13,0,47,0,0,0,0,2596,1986,0,4582
State,PUNJAB,1196,408,1,1605,498,110,0,608,87,17,0,104,36,4,0,40,1817,539,1,2357
State,RAJASTHAN,1833,850,0,2683,1302,334,0,1636,134,32,0,166,33,13,0,46,3302,1229,0,4531
State,SIKKIM,149,58,0,207,12,0,0,12,1,0,0,1,0,0,0,0,162,58,0,220
State,TAMIL NADU,6467,3249,7,9723,2351,882,1,3234,382,109,0,491,35,10,0,45,9235,4250,8,13493
State,TELANGANA,3180,1172,1,4353,1717,596,0,2313,609,220,0,829,106,74,0,180,5612,2062,1,7675
State,TRIPURA,368,168,0,536,107,46,0,153,19,18,0,37,2,0,0,2,496,232,0,728
State,UTTAR PRADESH,2285,1743,0,4028,882,441,0,1323,50,38,0,88,16,9,0,25,3233,2231,0,5464
State,UTTARAKHAND,171,90,0,261,138,76,0,214,26,15,0,41,0,0,0,0,335,181,0,516
State,WEST BENGAL,5682,3954,0,9636,1744,787,0,2531,190,90,0,280,153,65,0,218,7769,4896,0,12665
State,TOTAL (STATES),60685,29073,15,89773,30110,10025,2,40137,3642,1086,0,4728,746,267,0,1013,95183,40451,17,135651
UT,A & NISLANDS,53,44,0,97,66,3,0,69,11,4,0,15,0,0,0,0,130,51,0,181
UT,CHANDIGARH,53,26,0,79,33,11,0,44,6,1,0,7,1,0,0,1,93,38,0,131
UT,D & N HAVELI,47,20,0,67,22,3,0,25,3,0,0,3,0,0,0,0,72,23,0,95
UT,DAMAN & DIU,7,12,0,19,22,5,0,27,0,0,0,0,0,0,0,0,29,17,0,46
UT,DELHI (UT),1043,512,0,1555,660,235,0,895,51,20,0,71,4,1,0,5,1758,768,0,2526
UT,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,PUDUCHERRY,348,145,0,493,0,0,0,0,0,0,0,0,0,0,0,0,348,145,0,493
UT,TOTAL (UTs),1551,759,0,2310,803,257,0,1060,71,25,0,96,5,1,0,6,2430,1042,0,3472
TOTAL (ALL INDIA),TOTAL (ALL INDIA),62236,29832,15,92083,30913,10282,2,41197,3713,1111,0,4824,751,268,0,1019,97613,41493,17,139123
